Reference,Item number,Type,Word,Movies Count,Movies Total Count,Movies Frequency per 1000 words
Carlisle (2000),36,Input,revise,0,66112,0.0
Carlisle (2000),36,Target,revision,0,66112,0.0
Carlisle (2000),37,Input,reason,15,66112,0.22688770571151984
Carlisle (2000),37,Target,reasonable,3,66112,0.04537754114230397
Carlisle (2000),38,Input,major,11,66112,0.1663843175217812
Carlisle (2000),38,Target,majority,0,66112,0.0
Carlisle (2000),39,Input,deep,3,66112,0.04537754114230397
Carlisle (2000),39,Target,depth,0,66112,0.0
Carlisle (2000),40,Input,equal,0,66112,0.0
Carlisle (2000),40,Target,equality,1,66112,0.015125847047434656
Carlisle (2000),41,Input,long,45,66112,0.6806631171345595
Carlisle (2000),41,Target,length,1,66112,0.015125847047434656
Carlisle (2000),42,Input,adventure,5,66112,0.07562923523717328
Carlisle (2000),42,Target,adventurous,0,66112,0.0
Carlisle (2000),43,Input,absorb,0,66112,0.0
Carlisle (2000),43,Target,absorption,0,66112,0.0
Carlisle (2000),44,Input,active,1,66112,0.015125847047434656
Carlisle (2000),44,Target,activity,1,66112,0.015125847047434656
Carlisle (2000),45,Input,swim,2,66112,0.030251694094869313
Carlisle (2000),45,Target,swimmer,0,66112,0.0
Carlisle (2000),46,Input,human,3,66112,0.04537754114230397
Carlisle (2000),46,Target,humanity,0,66112,0.0
Carlisle (2000),47,Input,wash,1,66112,0.015125847047434656
Carlisle (2000),47,Target,washer,0,66112,0.0
Carlisle (2000),48,Input,humor,3,66112,0.04537754114230397
Carlisle (2000),48,Target,humorous,0,66112,0.0
Carlisle (2000),49,Input,assist,2,66112,0.030251694094869313
Carlisle (2000),49,Target,assistance,0,66112,0.0
Carlisle (2000),50,Input,mystery,2,66112,0.030251694094869313
Carlisle (2000),50,Target,mysterious,2,66112,0.030251694094869313
Carlisle (2000),51,Input,produce,0,66112,0.0
Carlisle (2000),51,Target,production,0,66112,0.0
Carlisle (2000),52,Input,glory,2,66112,0.030251694094869313
Carlisle (2000),52,Target,glorious,1,66112,0.015125847047434656
Carlisle (2000),53,Input,driver,2,66112,0.030251694094869313
Carlisle (2000),53,Target,drive,13,66112,0.19663601161665054
Carlisle (2000),54,Input,improvement,1,66112,0.015125847047434656
Carlisle (2000),54,Target,improve,0,66112,0.0
Carlisle (2000),55,Input,growth,2,66112,0.030251694094869313
Carlisle (2000),55,Target,grow,2,66112,0.030251694094869313
Carlisle (2000),56,Input,dryer,0,66112,0.0
Carlisle (2000),56,Target,dry,5,66112,0.07562923523717328
Carlisle (2000),57,Input,variable,0,66112,0.0
Carlisle (2000),57,Target,vary,0,66112,0.0
Carlisle (2000),58,Input,width,0,66112,0.0
Carlisle (2000),58,Target,wide,1,66112,0.015125847047434656
Carlisle (2000),59,Input,density,1,66112,0.015125847047434656
Carlisle (2000),59,Target,dense,0,66112,0.0
Carlisle (2000),60,Input,discussion,2,66112,0.030251694094869313
Carlisle (2000),60,Target,discuss,1,66112,0.015125847047434656
Carlisle (2000),61,Input,famous,4,66112,0.060503388189738626
Carlisle (2000),61,Target,fame,0,66112,0.0
Carlisle (2000),62,Input,description,0,66112,0.0
Carlisle (2000),62,Target,describe,1,66112,0.015125847047434656
Carlisle (2000),63,Input,fifth,1,66112,0.015125847047434656
Carlisle (2000),63,Target,five,39,66112,0.5899080348499516
Carlisle (2000),64,Input,election,1,66112,0.015125847047434656
Carlisle (2000),64,Target,elect,0,66112,0.0
Carlisle (2000),65,Input,strength,11,66112,0.1663843175217812
Carlisle (2000),65,Target,strong,12,66112,0.18151016456921587
Carlisle (2000),66,Input,decision,3,66112,0.04537754114230397
Carlisle (2000),66,Target,decide,2,66112,0.030251694094869313
Carlisle (2000),67,Input,popularity,1,66112,0.015125847047434656
Carlisle (2000),67,Target,popular,0,66112,0.0
Carlisle (2000),68,Input,runner,0,66112,0.0
Carlisle (2000),68,Target,run,22,66112,0.3327686350435624
Carlisle (2000),69,Input,publicity,1,66112,0.015125847047434656
Carlisle (2000),69,Target,public,2,66112,0.030251694094869313
Carlisle (2000),70,Input,difference,8,66112,0.12100677637947725
Carlisle (2000),70,Target,differ,0,66112,0.0
Carlisle (2000),71,Input,originality,0,66112,0.0
Carlisle (2000),71,Target,original,2,66112,0.030251694094869313
Carlisle (2000),72,Input,agreeable,0,66112,0.0
Carlisle (2000),72,Target,agree,2,66112,0.030251694094869313
Carlisle (2000),73,Input,courageous,0,66112,0.0
Carlisle (2000),73,Target,courage,10,66112,0.15125847047434657
Carlisle (2000),74,Input,admission,0,66112,0.0
Carlisle (2000),74,Target,admit,3,66112,0.04537754114230397
Carlisle (2000),75,Input,dangerous,7,66112,0.10588092933204259
Carlisle (2000),75,Target,danger,4,66112,0.060503388189738626
Carlisle (2000),76,Input,reduction,0,66112,0.0
Carlisle (2000),76,Target,reduce,0,66112,0.0
Carlisle (2000),77,Input,baker,0,66112,0.0
Carlisle (2000),77,Target,bake,0,66112,0.0
Carlisle (2000),78,Input,division,0,66112,0.0
Carlisle (2000),78,Target,divide,0,66112,0.0
Carlisle (2000),79,Input,guidance,1,66112,0.015125847047434656
Carlisle (2000),79,Target,guide,2,66112,0.030251694094869313
Carlisle (2000),80,Input,continuous,0,66112,0.0
Carlisle (2000),80,Target,continue,4,66112,0.060503388189738626
Carlisle (2000),81,Input,reliable,4,66112,0.060503388189738626
Carlisle (2000),81,Target,rely,1,66112,0.015125847047434656
Carlisle (2000),82,Input,acceptance,0,66112,0.0
Carlisle (2000),82,Target,accept,14,66112,0.21176185866408517
Kieffer & Lesaux (2008),85,Input,growth,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),85,Target,grow,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),86,Input,dryer,0,66112,0.0
Kieffer & Lesaux (2008),86,Target,dry,5,66112,0.07562923523717328
Kieffer & Lesaux (2008),87,Input,width,0,66112,0.0
Kieffer & Lesaux (2008),87,Target,wide,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),88,Input,density,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),88,Target,dense,0,66112,0.0
Kieffer & Lesaux (2008),89,Input,discussion,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),89,Target,discuss,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),90,Input,famous,4,66112,0.060503388189738626
Kieffer & Lesaux (2008),90,Target,fame,0,66112,0.0
Kieffer & Lesaux (2008),91,Input,fifth,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),91,Target,five,39,66112,0.5899080348499516
Kieffer & Lesaux (2008),92,Input,strength,11,66112,0.1663843175217812
Kieffer & Lesaux (2008),92,Target,strong,12,66112,0.18151016456921587
Kieffer & Lesaux (2008),93,Input,decision,3,66112,0.04537754114230397
Kieffer & Lesaux (2008),93,Target,decide,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),94,Input,popularity,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),94,Target,popular,0,66112,0.0
Kieffer & Lesaux (2008),95,Input,runner,0,66112,0.0
Kieffer & Lesaux (2008),95,Target,run,22,66112,0.3327686350435624
Kieffer & Lesaux (2008),96,Input,availability,0,66112,0.0
Kieffer & Lesaux (2008),96,Target,available,6,66112,0.09075508228460794
Kieffer & Lesaux (2008),97,Input,glorious,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),97,Target,glory,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),98,Input,originality,0,66112,0.0
Kieffer & Lesaux (2008),98,Target,original,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),99,Input,courageous,0,66112,0.0
Kieffer & Lesaux (2008),99,Target,courage,10,66112,0.15125847047434657
Kieffer & Lesaux (2008),100,Input,admission,0,66112,0.0
Kieffer & Lesaux (2008),100,Target,admit,3,66112,0.04537754114230397
Kieffer & Lesaux (2008),101,Input,baker,0,66112,0.0
Kieffer & Lesaux (2008),101,Target,bake,0,66112,0.0
Kieffer & Lesaux (2008),102,Input,division,0,66112,0.0
Kieffer & Lesaux (2008),102,Target,divide,0,66112,0.0
Kieffer & Lesaux (2008),103,Input,fourth,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),103,Target,four,18,66112,0.27226524685382386
Kieffer & Lesaux (2008),104,Input,continuous,0,66112,0.0
Kieffer & Lesaux (2008),104,Target,continue,4,66112,0.060503388189738626
Kieffer & Lesaux (2008),105,Input,swimmer,0,66112,0.0
Kieffer & Lesaux (2008),105,Target,swim,2,66112,0.030251694094869313
Kieffer & Lesaux (2008),106,Input,furious,0,66112,0.0
Kieffer & Lesaux (2008),106,Target,fury,0,66112,0.0
Kieffer & Lesaux (2008),107,Input,teacher,5,66112,0.07562923523717328
Kieffer & Lesaux (2008),107,Target,teach,8,66112,0.12100677637947725
Kieffer & Lesaux (2008),108,Input,activity,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),108,Target,active,1,66112,0.015125847047434656
Kieffer & Lesaux (2008),109,Input,possession,3,66112,0.04537754114230397
Kieffer & Lesaux (2008),109,Target,possess,1,66112,0.015125847047434656
Kruk & Bergman (2013),110,Input,needed,13,66112,0.19663601161665054
Kruk & Bergman (2013),110,Target,need,44,66112,0.6655372700871248
Kruk & Bergman (2013),111,Input,owner,0,66112,0.0
Kruk & Bergman (2013),111,Target,own,38,66112,0.574782187802517
Kruk & Bergman (2013),112,Input,decision,3,66112,0.04537754114230397
Kruk & Bergman (2013),112,Target,decide,2,66112,0.030251694094869313
Kruk & Bergman (2013),113,Input,flowers,3,66112,0.04537754114230397
Kruk & Bergman (2013),113,Target,flower,1,66112,0.015125847047434656
Kruk & Bergman (2013),114,Input,cutting,2,66112,0.030251694094869313
Kruk & Bergman (2013),114,Target,cut,14,66112,0.21176185866408517
Kruk & Bergman (2013),115,Input,running,15,66112,0.22688770571151984
Kruk & Bergman (2013),115,Target,run,22,66112,0.3327686350435624
Kruk & Bergman (2013),116,Input,walked,3,66112,0.04537754114230397
Kruk & Bergman (2013),116,Target,walk,14,66112,0.21176185866408517
Kruk & Bergman (2013),117,Input,friends,18,66112,0.27226524685382386
Kruk & Bergman (2013),117,Target,friend,23,66112,0.34789448209099705
Kruk & Bergman (2013),118,Input,wanted,35,66112,0.5294046466602129
Kruk & Bergman (2013),118,Target,want,133,66112,2.0117376573088093
Kruk & Bergman (2013),119,Input,glasses,1,66112,0.015125847047434656
Kruk & Bergman (2013),119,Target,glass,5,66112,0.07562923523717328
Kruk & Bergman (2013),120,Input,popularity,1,66112,0.015125847047434656
Kruk & Bergman (2013),120,Target,popular,0,66112,0.0
Kruk & Bergman (2013),121,Input,dirty,1,66112,0.015125847047434656
Kruk & Bergman (2013),121,Target,dirt,3,66112,0.04537754114230397
Kruk & Bergman (2013),122,Input,reader,0,66112,0.0
Kruk & Bergman (2013),122,Target,read,27,66112,0.4083978702807357
Kruk & Bergman (2013),123,Input,babies,4,66112,0.060503388189738626
Kruk & Bergman (2013),123,Target,baby,27,66112,0.4083978702807357
Kruk & Bergman (2013),124,Input,books,9,66112,0.13613262342691193
Kruk & Bergman (2013),124,Target,book,11,66112,0.1663843175217812
Kruk & Bergman (2013),125,Input,acceptance,0,66112,0.0
Kruk & Bergman (2013),125,Target,accept,14,66112,0.21176185866408517
Kruk & Bergman (2013),126,Input,growth,2,66112,0.030251694094869313
Kruk & Bergman (2013),126,Target,grow,2,66112,0.030251694094869313
Kruk & Bergman (2013),127,Input,dryer,0,66112,0.0
Kruk & Bergman (2013),127,Target,dry,5,66112,0.07562923523717328
Kruk & Bergman (2013),128,Input,density,1,66112,0.015125847047434656
Kruk & Bergman (2013),128,Target,dense,0,66112,0.0
Kruk & Bergman (2013),129,Input,agreement,3,66112,0.04537754114230397
Kruk & Bergman (2013),129,Target,agree,2,66112,0.030251694094869313
Kruk & Bergman (2013),130,Input,believe,44,66112,0.6655372700871248
Kruk & Bergman (2013),130,Target,belief,0,66112,0.0
Kruk & Bergman (2013),131,Input,carried,2,66112,0.030251694094869313
Kruk & Bergman (2013),131,Target,carry,7,66112,0.10588092933204259
Kruk & Bergman (2013),132,Input,strength,11,66112,0.1663843175217812
Kruk & Bergman (2013),132,Target,strong,12,66112,0.18151016456921587
Kruk & Bergman (2013),133,Input,fifth,1,66112,0.015125847047434656
Kruk & Bergman (2013),133,Target,five,39,66112,0.5899080348499516
Kruk & Bergman (2013),134,Input,leaves,2,66112,0.030251694094869313
Kruk & Bergman (2013),134,Target,leaf,1,66112,0.015125847047434656
Kruk & Bergman (2013),135,Input,discussion,2,66112,0.030251694094869313
Kruk & Bergman (2013),135,Target,discuss,1,66112,0.015125847047434656
Kruk & Bergman (2013),136,Input,description,0,66112,0.0
Kruk & Bergman (2013),136,Target,describe,1,66112,0.015125847047434656
Kruk & Bergman (2013),137,Input,enter,1,66112,0.015125847047434656
Kruk & Bergman (2013),137,Target,entered,1,66112,0.015125847047434656
Kruk & Bergman (2013),138,Input,sing,1,66112,0.015125847047434656
Kruk & Bergman (2013),138,Target,singer,0,66112,0.0
Kruk & Bergman (2013),139,Input,try,36,66112,0.5445304937076477
Kruk & Bergman (2013),139,Target,tried,13,66112,0.19663601161665054
Kruk & Bergman (2013),140,Input,tree,9,66112,0.13613262342691193
Kruk & Bergman (2013),140,Target,trees,3,66112,0.04537754114230397
Kruk & Bergman (2013),141,Input,stop,49,66112,0.7411665053242982
Kruk & Bergman (2013),141,Target,stopped,7,66112,0.10588092933204259
Kruk & Bergman (2013),142,Input,egg,2,66112,0.030251694094869313
Kruk & Bergman (2013),142,Target,eggs,1,66112,0.015125847047434656
Kruk & Bergman (2013),143,Input,perform,1,66112,0.015125847047434656
Kruk & Bergman (2013),143,Target,performance,0,66112,0.0
Kruk & Bergman (2013),144,Input,sun,10,66112,0.15125847047434657
Kruk & Bergman (2013),144,Target,sunny,0,66112,0.0
Kruk & Bergman (2013),145,Input,car,19,66112,0.2873910939012585
Kruk & Bergman (2013),145,Target,cars,11,66112,0.1663843175217812
Kruk & Bergman (2013),146,Input,ask,49,66112,0.7411665053242982
Kruk & Bergman (2013),146,Target,asked,18,66112,0.27226524685382386
Kruk & Bergman (2013),147,Input,warm,6,66112,0.09075508228460794
Kruk & Bergman (2013),147,Target,warmth,0,66112,0.0
Kruk & Bergman (2013),148,Input,fish,8,66112,0.12100677637947725
Kruk & Bergman (2013),148,Target,fishing,0,66112,0.0
Kruk & Bergman (2013),149,Input,wish,31,66112,0.4689012584704743
Kruk & Bergman (2013),149,Target,wishes,0,66112,0.0
Kruk & Bergman (2013),150,Input,come,185,66112,2.7982817037754115
Kruk & Bergman (2013),150,Target,coming,24,66112,0.36302032913843174
Kruk & Bergman (2013),151,Input,assist,2,66112,0.030251694094869313
Kruk & Bergman (2013),151,Target,assistance,0,66112,0.0
Kruk & Bergman (2013),152,Input,human,3,66112,0.04537754114230397
Kruk & Bergman (2013),152,Target,humanity,0,66112,0.0
Kruk & Bergman (2013),153,Input,teach,8,66112,0.12100677637947725
Kruk & Bergman (2013),153,Target,teacher,5,66112,0.07562923523717328
Kruk & Bergman (2013),154,Input,profit,0,66112,0.0
Kruk & Bergman (2013),154,Target,profitable,0,66112,0.0
Kruk & Bergman (2013),155,Input,appear,2,66112,0.030251694094869313
Kruk & Bergman (2013),155,Target,appearance,0,66112,0.0
Kruk & Bergman (2013),156,Input,body,16,66112,0.2420135527589545
Kruk & Bergman (2013),156,Target,bodies,0,66112,0.0
Kruk & Bergman (2013),157,Input,deep,3,66112,0.04537754114230397
Kruk & Bergman (2013),157,Target,depth,0,66112,0.0
Kruk & Bergman (2013),158,Input,life,50,66112,0.7562923523717328
Kruk & Bergman (2013),158,Target,live,35,66112,0.5294046466602129
Kruk & Bergman (2013),159,Input,dead,38,66112,0.574782187802517
Kruk & Bergman (2013),159,Target,death,16,66112,0.2420135527589545
Kruk & Bergman (2013),160,Input,permit,0,66112,0.0
Kruk & Bergman (2013),160,Target,permission,2,66112,0.030251694094869313
Kruk & Bergman (2013),161,Input,shelf,0,66112,0.0
Kruk & Bergman (2013),161,Target,shelves,0,66112,0.0
Kruk & Bergman (2013),162,Input,protect,2,66112,0.030251694094869313
Kruk & Bergman (2013),162,Target,protection,0,66112,0.0
Kruk & Bergman (2013),163,Input,active,1,66112,0.015125847047434656
Kruk & Bergman (2013),163,Target,activity,1,66112,0.015125847047434656
Lam (2009),167,Input,growth,2,66112,0.030251694094869313
Lam (2009),167,Target,grow,2,66112,0.030251694094869313
Lam (2009),168,Input,density,1,66112,0.015125847047434656
Lam (2009),168,Target,dense,0,66112,0.0
Lam (2009),169,Input,description,0,66112,0.0
Lam (2009),169,Target,describe,1,66112,0.015125847047434656
Lam (2009),170,Input,runner,0,66112,0.0
Lam (2009),170,Target,run,22,66112,0.3327686350435624
Lam (2009),171,Input,jacket,1,66112,0.015125847047434656
Lam (2009),171,Target,jackets,0,66112,0.0
Lam (2009),172,Input,skip,2,66112,0.030251694094869313
Lam (2009),172,Target,skipped,1,66112,0.015125847047434656
Lam (2009),173,Input,music,5,66112,0.07562923523717328
Lam (2009),173,Target,musician,0,66112,0.0
Lam (2009),174,Input,slow,9,66112,0.13613262342691193
Lam (2009),174,Target,slowest,0,66112,0.0
Lam (2009),175,Input,science,5,66112,0.07562923523717328
Lam (2009),175,Target,scientist,1,66112,0.015125847047434656
Lam (2009),176,Input,four,18,66112,0.27226524685382386
Lam (2009),176,Target,fourth,1,66112,0.015125847047434656
Lam (2009),177,Input,dance,21,66112,0.3176427879961278
Lam (2009),177,Target,dancer,1,66112,0.015125847047434656
Lam (2009),178,Input,art,2,66112,0.030251694094869313
Lam (2009),178,Target,artist,2,66112,0.030251694094869313
Lam (2009),179,Input,cloud,1,66112,0.015125847047434656
Lam (2009),179,Target,cloudy,1,66112,0.015125847047434656
Lam (2009),180,Input,paint,5,66112,0.07562923523717328
Lam (2009),180,Target,painter,1,66112,0.015125847047434656
Lam (2009),181,Input,curl,0,66112,0.0
Lam (2009),181,Target,curly,0,66112,0.0
Lam (2009),182,Input,calm,5,66112,0.07562923523717328
Lam (2009),182,Target,calmly,0,66112,0.0
Lam (2009),183,Input,magic,1,66112,0.015125847047434656
Lam (2009),183,Target,musician,0,66112,0.0
Lam (2009),184,Input,strong,12,66112,0.18151016456921587
Lam (2009),184,Target,strength,11,66112,0.1663843175217812
Lam (2009),185,Input,discuss,1,66112,0.015125847047434656
Lam (2009),185,Target,discussion,2,66112,0.030251694094869313
Lam (2009),186,Input,appear,2,66112,0.030251694094869313
Lam (2009),186,Target,appearance,0,66112,0.0
Lam (2009),187,Input,remark,1,66112,0.015125847047434656
Lam (2009),187,Target,remarkable,0,66112,0.0
Lam (2009),188,Input,major,11,66112,0.1663843175217812
Lam (2009),188,Target,majority,0,66112,0.0
Lam (2009),189,Input,humour,0,66112,0.0
Lam (2009),189,Target,humorous,0,66112,0.0
Lam (2009),190,Input,mystery,2,66112,0.030251694094869313
Lam (2009),190,Target,mysterious,2,66112,0.030251694094869313
Deacon et al. (2013),192,Input,plugs,0,66112,0.0
Deacon et al. (2013),192,Target,plugged,0,66112,0.0
Deacon et al. (2013),194,Input,chased,0,66112,0.0
Deacon et al. (2013),194,Target,chases,0,66112,0.0
Deacon et al. (2013),196,Input,slammed,0,66112,0.0
Deacon et al. (2013),196,Target,slams,0,66112,0.0
Deacon et al. (2013),198,Input,feeds,1,66112,0.015125847047434656
Deacon et al. (2013),198,Target,fed,0,66112,0.0
Deacon et al. (2013),200,Input,crept,0,66112,0.0
Deacon et al. (2013),200,Target,creeps,0,66112,0.0
Deacon et al. (2013),202,Input,sells,1,66112,0.015125847047434656
Deacon et al. (2013),202,Target,sold,0,66112,0.0
Deacon et al. (2013),204,Input,ran,4,66112,0.060503388189738626
Deacon et al. (2013),204,Target,runs,8,66112,0.12100677637947725
Deacon et al. (2013),206,Input,opens,0,66112,0.0
Deacon et al. (2013),206,Target,opened,7,66112,0.10588092933204259
Deacon et al. (2013),208,Input,strong,12,66112,0.18151016456921587
Deacon et al. (2013),208,Target,strongest,1,66112,0.015125847047434656
Deacon et al. (2013),210,Input,chill,1,66112,0.015125847047434656
Deacon et al. (2013),210,Target,chilly,0,66112,0.0
Deacon et al. (2013),212,Input,write,14,66112,0.21176185866408517
Deacon et al. (2013),212,Target,writer,5,66112,0.07562923523717328
Deacon et al. (2013),214,Input,curl,0,66112,0.0
Deacon et al. (2013),214,Target,curly,0,66112,0.0
Deacon et al. (2013),216,Input,store,1,66112,0.015125847047434656
Deacon et al. (2013),216,Target,shortage,5,66112,0.07562923523717328
Deacon et al. (2013),218,Input,bite,7,66112,0.10588092933204259
Deacon et al. (2013),218,Target,biting,1,66112,0.015125847047434656
Deacon et al. (2013),220,Input,goose,2,66112,0.030251694094869313
Deacon et al. (2013),220,Target,geese,0,66112,0.0
Deacon et al. (2013),222,Input,obedient,1,66112,0.015125847047434656
Deacon et al. (2013),222,Target,obedience,0,66112,0.0
Deacon et al. (2013),224,Input,strong,12,66112,0.18151016456921587
Deacon et al. (2013),224,Target,strength,11,66112,0.1663843175217812
Deacon et al. (2013),226,Input,clean,1,66112,0.015125847047434656
Deacon et al. (2013),226,Target,cleaner,0,66112,0.0
Deacon et al. (2013),228,Input,deep,3,66112,0.04537754114230397
Deacon et al. (2013),228,Target,depth,0,66112,0.0
Deacon et al. (2013),230,Input,mouse,0,66112,0.0
Deacon et al. (2013),230,Target,mice,1,66112,0.015125847047434656
Deacon et al. (2013),232,Input,scratch,0,66112,0.0
Deacon et al. (2013),232,Target,scratched,0,66112,0.0
Deacon et al. (2013),234,Input,true,26,66112,0.39327202323330107
Deacon et al. (2013),234,Target,truth,6,66112,0.09075508228460794
Deacon et al. (2013),236,Input,farm,9,66112,0.13613262342691193
Deacon et al. (2013),236,Target,farmer,0,66112,0.0
Deacon et al. (2013),238,Input,mild,0,66112,0.0
Deacon et al. (2013),238,Target,mildly,0,66112,0.0
Deacon et al. (2013),240,Input,sing,1,66112,0.015125847047434656
Deacon et al. (2013),240,Target,sang,1,66112,0.015125847047434656
Deacon et al. (2013),242,Input,science,5,66112,0.07562923523717328
Deacon et al. (2013),242,Target,scientist,1,66112,0.015125847047434656
Deacon et al. (2013),244,Input,shrink,0,66112,0.0
Deacon et al. (2013),244,Target,shrinkage,0,66112,0.0
Deacon et al. (2013),246,Input,bold,2,66112,0.030251694094869313
Deacon et al. (2013),246,Target,boldly,0,66112,0.0
Deacon et al. (2013),248,Input,fly,16,66112,0.2420135527589545
Deacon et al. (2013),248,Target,flying,3,66112,0.04537754114230397
Deacon (2012),250,Input,plugs,0,66112,0.0
Deacon (2012),250,Target,plugged,0,66112,0.0
Deacon (2012),252,Input,chased,0,66112,0.0
Deacon (2012),252,Target,chases,0,66112,0.0
Deacon (2012),254,Input,slammed,0,66112,0.0
Deacon (2012),254,Target,slams,0,66112,0.0
Deacon (2012),256,Input,feeds,1,66112,0.015125847047434656
Deacon (2012),256,Target,fed,0,66112,0.0
Deacon (2012),258,Input,crept,0,66112,0.0
Deacon (2012),258,Target,creeps,0,66112,0.0
Deacon (2012),260,Input,sells,1,66112,0.015125847047434656
Deacon (2012),260,Target,sold,0,66112,0.0
Deacon (2012),262,Input,ran,4,66112,0.060503388189738626
Deacon (2012),262,Target,runs,8,66112,0.12100677637947725
Deacon (2012),264,Input,opens,0,66112,0.0
Deacon (2012),264,Target,opened,7,66112,0.10588092933204259
Deacon et al. (2007),266,Input,shakes,0,66112,0.0
Deacon et al. (2007),266,Target,shook,1,66112,0.015125847047434656
Deacon et al. (2007),268,Input,keeping,2,66112,0.030251694094869313
Deacon et al. (2007),268,Target,kept,3,66112,0.04537754114230397
Deacon et al. (2007),270,Input,fed,0,66112,0.0
Deacon et al. (2007),270,Target,feeds,1,66112,0.015125847047434656
